id,price,property_type,room_type,availability_365,calculated_host_listings_count,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,reviews_per_month,neighbourhood_cleansed,latitude,longitude
2871271,,Entire rental unit,Entire home/apt,96,1,within an hour,100,299,4.62,2.2,Élysée,48.87933,2.31491
2785692,,Private room in tiny home,Private room,176,1,,,15,4.8,0.2,Élysée,48.88045,2.31161
2892435,,Entire rental unit,Entire home/apt,299,2,within an hour,100,527,4.85,3.82,Élysée,48.87046,2.31129
3015969,,Private room in rental unit,Private room,0,1,,,0,,,Élysée,48.873,2.30406
3126320,,Entire rental unit,Entire home/apt,53,1,,,20,4.9,0.15,Élysée,48.87983,2.31621
3199889,,Entire rental unit,Entire home/apt,0,2,,,0,,,Élysée,48.8741,2.30664
3139351,,Entire rental unit,Entire home/apt,0,1,,,0,,,Élysée,48.8706,2.30615
22158,,Private room in rental unit,Private room,76,1,within a few hours,100,120,4.94,0.77,Élysée,48.87039,2.32273
48592,,Entire rental unit,Entire home/apt,300,102,within a day,53,43,4.35,0.29,Élysée,48.87341,2.30778
55239,,Entire rental unit,Entire home/apt,336,2,within a few hours,100,22,5.0,0.14,Élysée,48.8726,2.31477
171159,,Entire rental unit,Entire home/apt,325,1,within an hour,100,506,4.31,2.95,Élysée,48.87573,2.32662
348747,,Entire rental unit,Entire home/apt,120,1,within an hour,100,218,4.88,1.55,Élysée,48.883,2.3263
243040,,Entire rental unit,Entire home/apt,0,2,,,52,4.45,0.31,Élysée,48.87114,2.32606
108591,,Entire rental unit,Entire home/apt,286,2,within an hour,100,34,5.0,0.29,Élysée,48.8742,2.297
270067,,Entire rental unit,Entire home/apt,192,1,within an hour,100,53,4.98,0.35,Élysée,48.87241,2.31465
536347,,Entire condo,Entire home/apt,331,1,within a few hours,100,40,4.72,0.25,Élysée,48.8702,2.32368
763958,,Private room in rental unit,Private room,204,1,within an hour,100,208,4.84,1.37,Élysée,48.87588,2.32375
893684,,Entire rental unit,Entire home/apt,11,1,within a day,100,147,4.96,0.97,Élysée,48.87355,2.31135
845652,,Entire rental unit,Entire home/apt,0,1,,,3,5.0,0.02,Élysée,48.87458,2.32298
782257,,Entire rental unit,Entire home/apt,0,2,,,58,4.43,0.42,Élysée,48.87326,2.30673
1005600,,Entire rental unit,Entire home/apt,127,1,a few days or more,0,175,4.78,1.18,Élysée,48.87467,2.31912
886735,,Entire rental unit,Entire home/apt,88,1,,,18,4.28,0.12,Élysée,48.87436,2.30786
1036684,,Entire rental unit,Entire home/apt,0,1,,,24,4.5,0.18,Élysée,48.86954,2.30992
1057854,,Entire rental unit,Entire home/apt,55,1,a few days or more,0,67,4.67,0.48,Élysée,48.87268,2.32287
1218817,,Entire rental unit,Entire home/apt,0,1,,,1,5.0,0.02,Élysée,48.88122,2.32534
1137844,,Entire rental unit,Entire home/apt,362,1,,,0,,,Élysée,48.87223,2.3125
1301263,,Entire rental unit,Entire home/apt,0,1,,,5,5.0,0.04,Élysée,48.87291,2.32183
1192253,,Entire rental unit,Entire home/apt,285,1,,,12,4.75,0.08,Élysée,48.88141,2.32404
1329018,,Private room in rental unit,Private room,199,3,within an hour,100,277,4.88,1.91,Élysée,48.87468,2.3061
1336131,,Entire townhouse,Entire home/apt,76,1,,,14,4.36,0.16,Élysée,48.87815,2.31613
1353338,,Entire rental unit,Entire home/apt,358,1,,,3,4.33,0.03,Élysée,48.88251,2.32664
1359986,,Entire rental unit,Entire home/apt,345,2,within an hour,100,79,4.88,0.54,Élysée,48.87286,2.31624
1363359,,Entire rental unit,Entire home/apt,0,1,,,0,,,Élysée,48.8738,2.29991
1550642,,Entire rental unit,Entire home/apt,0,1,,,34,4.34,0.23,Élysée,48.86727,2.30873
1670507,,Castle,Entire home/apt,325,1,within a few hours,100,18,4.83,1.14,Élysée,48.86441265893959,2.316204610620112
1448260,,Entire rental unit,Entire home/apt,315,1,within a day,100,8,4.88,0.5,Élysée,48.88122647195682,2.318588289927572
1785028,,Entire rental unit,Entire home/apt,334,1,within a few hours,100,142,4.65,0.98,Élysée,48.86759948730469,2.302125930786133
1983291,,Entire rental unit,Entire home/apt,0,1,,,37,4.7,0.28,Élysée,48.88172,2.3238
2050473,,Entire rental unit,Entire home/apt,365,1,within a day,50,2,4.5,0.01,Élysée,48.87603,2.29678
1892591,,Entire rental unit,Entire home/apt,239,1,within an hour,100,18,4.83,0.13,Élysée,48.87253,2.32271
2162251,,Entire rental unit,Entire home/apt,340,5,within an hour,100,234,4.82,1.87,Élysée,48.87284,2.31504
2488505,,Private room in rental unit,Private room,344,8,within an hour,99,109,4.66,0.78,Élysée,48.86994,2.31712
2384250,,Entire rental unit,Entire home/apt,364,2,within a few hours,80,11,4.91,0.08,Élysée,48.86728,2.30474
2527936,,Entire rental unit,Entire home/apt,241,1,within a few hours,67,17,4.53,0.12,Élysée,48.87758,2.30122
2615923,,Entire rental unit,Entire home/apt,360,1,within an hour,100,231,4.72,1.66,Élysée,48.87741,2.30975
2415284,,Entire rental unit,Entire home/apt,351,1,within a few hours,67,59,4.83,0.43,Élysée,48.88152,2.32262
2579897,,Entire rental unit,Entire home/apt,365,2,a few days or more,0,33,4.52,0.24,Élysée,48.87732,2.32673
2678065,,Entire rental unit,Entire home/apt,80,1,within an hour,100,166,4.73,1.21,Élysée,48.8712,2.30294
3269034,,Entire loft,Entire home/apt,37,1,a few days or more,0,58,4.66,0.5,Élysée,48.87276,2.30678
3292824,,Entire rental unit,Entire home/apt,0,1,,,3,4.33,0.03,Élysée,48.86945,2.3246
3369673,,Entire rental unit,Entire home/apt,160,1,,,80,4.96,0.61,Élysée,48.87638,2.29739
3385662,,Private room in rental unit,Private room,339,2,within an hour,100,62,5.0,0.46,Élysée,48.87336,2.31537
3467111,,Entire rental unit,Entire home/apt,0,1,,,0,,,Élysée,48.8821,2.32255
3483434,,Private room in rental unit,Private room,0,1,,,3,4.33,0.02,Élysée,48.8815,2.32633
3421149,,Entire rental unit,Entire home/apt,21,1,within an hour,100,87,4.87,0.76,Élysée,48.88055,2.32667
